year,state,state_po,office,candidate,party_detailed,writein,candidatevotes,totalvotes,percentvotes
1976,KANSAS,KS,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,FALSE,430421,957845,0.449363937
1976,KANSAS,KS,US PRESIDENT,"MCCARTHY, EUGENE """"GENE""""",INDEPENDENT,FALSE,13185,957845,0.013765275
1976,KANSAS,KS,US PRESIDENT,"ANDERSON, THOMAS J.",AMERICAN,FALSE,4724,957845,0.004931904
1976,KANSAS,KS,US PRESIDENT,"MACBRIDE, ROGER",INDEPENDENT,FALSE,3242,957845,0.003384681
1976,KANSAS,KS,US PRESIDENT,"MADDOX, LESTER",CONSERVATIVE,FALSE,2118,957845,0.002211214
1976,KANSAS,KS,US PRESIDENT,"BUBAR, BENJAMIN """"BEN""""",PROHIBITION,FALSE,1403,957845,0.001464746
1976,KENTUCKY,KY,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,FALSE,615717,1167142,0.527542493
1976,KENTUCKY,KY,US PRESIDENT,"FORD, GERALD",REPUBLICAN,FALSE,531852,1167142,0.455687483
1976,KENTUCKY,KY,US PRESIDENT,"ANDERSON, THOMAS J.",AMERICAN,FALSE,8308,1167142,0.007118243
1976,KENTUCKY,KY,US PRESIDENT,"MCCARTHY, EUGENE """"GENE""""",INDEPENDENT,FALSE,6837,1167142,0.005857899
1976,KENTUCKY,KY,US PRESIDENT,"MADDOX, LESTER",AMERICAN INDEPENDENT PARTY,FALSE,2328,1167142,0.001994616
1976,KENTUCKY,KY,US PRESIDENT,"MACBRIDE, ROGER",LIBERTARIAN,FALSE,814,1167142,0.00069743
1976,KENTUCKY,KY,US PRESIDENT,"LAROUCHE, LYNDON, JR.",U.S. LABOR,FALSE,510,1167142,0.000436965
1976,KENTUCKY,KY,US PRESIDENT,"HALL, GUS",COMMUNIST PARTY USE,FALSE,426,1167142,0.000364994
1976,KENTUCKY,KY,US PRESIDENT,"CAMEJO, PETER",SOCIALIST WORKERS,FALSE,350,1167142,0.000299878
1976,LOUISIANA,LA,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,FALSE,661365,1277383,0.517749962
1976,LOUISIANA,LA,US PRESIDENT,"FORD, GERALD",REPUBLICAN,FALSE,587446,1277383,0.459882432
1976,LOUISIANA,LA,US PRESIDENT,"MADDOX, LESTER",AMERICAN INDEPENDENT PARTY,FALSE,10058,1277383,0.007873911
1976,LOUISIANA,LA,US PRESIDENT,"HALL, GUS",COMMUNIST PARTY USE,FALSE,7417,1277383,0.005806403
1976,LOUISIANA,LA,US PRESIDENT,"MCCARTHY, EUGENE """"GENE""""",INDEPENDENT,FALSE,6490,1277383,0.0050807
1976,LOUISIANA,LA,US PRESIDENT,"MACBRIDE, ROGER",LIBERTARIAN,FALSE,3134,1277383,0.002453454
1976,LOUISIANA,LA,US PRESIDENT,"CAMEJO, PETER",SOCIALIST WORKERS,FALSE,1473,1277383,0.001153139
1976,MAINE,ME,US PRESIDENT,"FORD, GERALD",REPUBLICAN,FALSE,236320,482968,0.48930778
1976,MAINE,ME,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,FALSE,232279,482968,0.480940766
1976,MAINE,ME,US PRESIDENT,"MCCARTHY, EUGENE """"GENE""""",INDEPENDENT,FALSE,10874,482968,0.022514949
1976,MAINE,ME,US PRESIDENT,"BUBAR, BENJAMIN """"BEN""""",PROHIBITION,FALSE,3495,482968,0.007236504
1976,MARYLAND,MD,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,FALSE,759612,1432273,0.530354199
1976,MARYLAND,MD,US PRESIDENT,"FORD, GERALD",REPUBLICAN,FALSE,672661,1432273,0.469645801
1976,MASSACHUSETTS,MA,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,FALSE,1429475,2547558,0.561115782
1976,MASSACHUSETTS,MA,US PRESIDENT,"FORD, GERALD",REPUBLICAN,FALSE,1030276,2547558,0.404417093
1976,MASSACHUSETTS,MA,US PRESIDENT,"MCCARTHY, EUGENE """"GENE""""",INDEPENDENT,FALSE,65637,2547558,0.025764673
1976,MASSACHUSETTS,MA,US PRESIDENT,"CAMEJO, PETER",SOCIALIST WORKERS,FALSE,8138,2547558,0.003194432
1976,MASSACHUSETTS,MA,US PRESIDENT,"ANDERSON, THOMAS J.",AMERICAN,FALSE,7555,2547558,0.002965585
1976,MASSACHUSETTS,MA,US PRESIDENT,"LAROUCHE, LYNDON, JR.",U.S. LABOR,FALSE,4922,2547558,0.001932046
1976,MASSACHUSETTS,MA,US PRESIDENT,SCATTERING,,FALSE,1401,2547558,0.000549938
1976,MASSACHUSETTS,MA,US PRESIDENT,"MACBRIDE, ROGER",LIBERTARIAN,FALSE,135,2547558,5.29919E-05
1976,MASSACHUSETTS,MA,US PRESIDENT,"JULIUS """"JULES"""", LEVIN",SOCIALIST LABOR,FALSE,19,2547558,7.45812E-06
